stock,date,average_sentiment_score,dominant_sentiment_average,bullish_articles,bearish_articles,neutral_articles,dominant_sentiment_majority,num_articles_fetched,return
BTC,1/4/2021,0.034791524,neutral,4,2,13,neutral,19,-0.024712
AAPL,1/5/2021,0.015512266,neutral,4,3,14,neutral,21,0.012363755
MSFT,1/5/2021,0.03771279,neutral,7,2,8,neutral,17,0.000964664
GOOGL,1/5/2021,0.057768158,bullish,7,0,14,neutral,21,0.008064317
AMZN,1/5/2021,0.024794095,neutral,4,4,5,neutral,13,0.010004358
NVDA,1/5/2021,0.070833333,bullish,2,1,1,bullish,4,0.022210038
META,1/5/2021,0.014094618,neutral,7,4,11,neutral,22,0.007548277
TSLA,1/5/2021,0.004930888,neutral,5,3,11,neutral,19,0.007317369
BTC,1/5/2021,0.030278243,neutral,7,5,19,neutral,31,0.06319658
AAPL,1/6/2021,0.02592249,neutral,5,4,12,neutral,21,-0.033661477
MSFT,1/6/2021,0.019869652,neutral,3,0,14,neutral,17,-0.02592934
GOOGL,1/6/2021,0.065277778,bullish,6,0,14,neutral,20,-0.009867719
AMZN,1/6/2021,0.056685032,bullish,4,3,4,bullish,11,-0.024896614
NVDA,1/6/2021,0,neutral,0,0,0,neutral,0,-0.058952951
META,1/6/2021,0.004144708,neutral,6,4,13,neutral,23,-0.028268955
TSLA,1/6/2021,-0.003693756,neutral,5,4,13,neutral,22,0.028390302
BTC,1/6/2021,0.044023254,neutral,11,3,15,neutral,29,0.083310714
AAPL,1/7/2021,0.070982143,bullish,7,3,6,bullish,16,0.034123301
MSFT,1/7/2021,0.007575758,neutral,1,0,11,neutral,12,0.02845711
GOOGL,1/7/2021,0.057958153,bullish,7,1,10,neutral,18,0.029868851
AMZN,1/7/2021,-0.003516114,neutral,2,1,6,neutral,9,0.007577128
NVDA,1/7/2021,0,neutral,0,0,1,neutral,1,0.057830142
META,1/7/2021,-0.007507707,neutral,3,3,16,neutral,22,0.020621949
TSLA,1/7/2021,-0.01020202,neutral,4,4,12,neutral,20,0.079446564
BTC,1/7/2021,0.04909416,neutral,11,1,17,neutral,29,0.069157467
AAPL,1/8/2021,0.053661616,bullish,8,3,7,bullish,18,0.008631024
MSFT,1/8/2021,0.026446281,neutral,3,2,6,neutral,11,0.006092724
GOOGL,1/8/2021,0.033680556,neutral,4,1,11,neutral,16,0.013238635
AMZN,1/8/2021,0.018928571,neutral,3,1,8,neutral,12,0.006495514
NVDA,1/8/2021,0.133333333,bullish,1,0,2,neutral,3,-0.005039631
META,1/8/2021,0.02099361,neutral,3,1,17,neutral,21,-0.004353461
TSLA,1/8/2021,0.049033816,neutral,9,3,11,neutral,23,0.078402995
BTC,1/8/2021,0.067962963,bullish,10,2,15,neutral,27,0.036233899
AAPL,1/11/2021,0.039772727,neutral,2,0,2,bullish,4,-0.023248717
MSFT,1/11/2021,0.040435606,neutral,2,0,9,neutral,11,-0.00969851
GOOGL,1/11/2021,-0.016437908,neutral,3,3,11,neutral,17,-0.023105697
AMZN,1/11/2021,0.071998557,bullish,3,0,5,neutral,8,-0.021519462
NVDA,1/11/2021,0.04,neutral,0,0,1,neutral,1,0.025966414
META,1/11/2021,0.02325528,neutral,4,2,16,neutral,22,-0.040101638
TSLA,1/11/2021,0.065981977,bullish,5,0,9,neutral,14,-0.078214117
BTC,1/11/2021,0.010577922,neutral,7,5,18,neutral,30,-0.072733159
AAPL,1/12/2021,0.031666667,neutral,4,0,6,neutral,10,-0.001395495
MSFT,1/12/2021,0.034657964,neutral,2,0,10,neutral,12,-0.011770757
GOOGL,1/12/2021,0.041580087,neutral,7,2,12,neutral,21,-0.010738593
AMZN,1/12/2021,0.096159812,bullish,4,0,4,bullish,8,0.002125797
NVDA,1/12/2021,0.134075448,bullish,4,0,3,bullish,7,-0.010039223
META,1/12/2021,0.012193362,neutral,4,1,16,neutral,21,-0.022387538
TSLA,1/12/2021,0.025652443,neutral,5,1,9,neutral,15,0.047152948
BTC,1/12/2021,0.035420819,neutral,10,6,27,neutral,43,-0.046214502
AAPL,1/13/2021,0.065675991,bullish,5,1,7,neutral,13,0.016226838
MSFT,1/13/2021,0.044525947,neutral,2,1,6,neutral,9,0.006560343
GOOGL,1/13/2021,0.058160487,bullish,8,1,14,neutral,23,0.005652124
AMZN,1/13/2021,0.064182643,bullish,3,0,4,neutral,7,0.014438407
NVDA,1/13/2021,0.080640693,bullish,5,1,4,bullish,10,0.003485326
META,1/13/2021,0.019515265,neutral,4,2,13,neutral,19,0.002190472
TSLA,1/13/2021,0.057575758,bullish,5,1,6,neutral,12,0.005850951
BTC,1/13/2021,0.03150706,neutral,9,8,25,neutral,42,0.100032496
AAPL,1/14/2021,0.091934046,bullish,8,1,8,bullish,17,-0.015127281
MSFT,1/14/2021,0.00473064,neutral,2,2,6,neutral,10,-0.015346119
GOOGL,1/14/2021,0.045006061,neutral,6,1,18,neutral,25,-0.009346138
AMZN,1/14/2021,0.020707071,neutral,1,0,5,neutral,6,-0.012135545
NVDA,1/14/2021,-0.033030303,bearish,1,1,2,neutral,4,-0.024498085
META,1/14/2021,0.044689598,neutral,7,2,14,neutral,23,-0.023843608
TSLA,1/14/2021,0.124494949,bullish,7,2,5,bullish,14,-0.011013523
BTC,1/14/2021,0.020508566,neutral,12,11,24,neutral,47,0.05013803
AAPL,1/15/2021,0.105627706,bullish,12,0,9,bullish,21,-0.013730649
MSFT,1/15/2021,-0.026111111,bearish,0,2,8,neutral,10,-0.00173701
GOOGL,1/15/2021,0.026111111,neutral,5,1,14,neutral,20,-0.001906521
AMZN,1/15/2021,1.73E-18,neutral,0,1,7,neutral,8,-0.0074246
NVDA,1/15/2021,0,neutral,0,0,4,neutral,4,-0.025813712
META,1/15/2021,0.064461279,bullish,9,2,13,neutral,24,0.023286148
TSLA,1/15/2021,0.118746286,bullish,7,1,9,neutral,17,-0.022295854
BTC,1/15/2021,0.018610092,neutral,13,9,24,neutral,46,-0.06027359
BTC,1/18/2021,0.026556437,neutral,6,5,16,neutral,27,0.02343579
AAPL,1/19/2021,0.109029304,bullish,5,3,5,bullish,13,0.005427226
MSFT,1/19/2021,0.026136364,neutral,2,1,5,neutral,8,0.017822639
GOOGL,1/19/2021,0.04487494,neutral,6,3,12,neutral,21,0.032906592
AMZN,1/19/2021,0.143555687,bullish,5,0,6,neutral,11,0.005318518
NVDA,1/19/2021,0.03030303,neutral,1,0,2,neutral,3,0.012889342
META,1/19/2021,0.018458831,neutral,5,4,13,neutral,22,0.038749352
TSLA,1/19/2021,0.110798898,bullish,6,1,4,bullish,11,0.022259629
BTC,1/19/2021,0.008633609,neutral,5,4,24,neutral,33,-0.015295343
AAPL,1/20/2021,0.103623599,bullish,5,1,7,neutral,13,0.032855995
MSFT,1/20/2021,-0.012037037,neutral,1,3,8,neutral,12,0.036499765
GOOGL,1/20/2021,0.081134396,bullish,8,2,12,neutral,22,0.053573228
AMZN,1/20/2021,0.101971243,bullish,6,0,8,neutral,14,0.045700485
NVDA,1/20/2021,0.119155844,bullish,2,0,2,bullish,4,0.026141586
META,1/20/2021,-0.004833333,neutral,3,4,13,neutral,20,0.024435046
TSLA,1/20/2021,-0.001287157,neutral,4,3,8,neutral,15,0.006985998
BTC,1/20/2021,0.028425974,neutral,8,4,23,neutral,35,-0.014473455
AAPL,1/21/2021,0.100490878,bullish,9,1,4,bullish,14,0.036658657
MSFT,1/21/2021,-0.01433725,neutral,2,3,9,neutral,14,0.002808208
GOOGL,1/21/2021,0.049773407,neutral,8,3,12,neutral,23,0.002170205
AMZN,1/21/2021,0.022727273,neutral,2,0,6,neutral,8,0.013363422
NVDA,1/21/2021,0.150880231,bullish,3,0,2,bullish,5,0.037539899
META,1/21/2021,0.016552095,neutral,3,3,13,neutral,19,0.020150876
TSLA,1/21/2021,0.022482993,neutral,3,2,9,neutral,14,-0.006420156
BTC,1/21/2021,0.053636364,bullish,6,2,17,neutral,25,-0.13283684
AAPL,1/22/2021,0.054300357,bullish,6,2,9,neutral,17,0.016073357
MSFT,1/22/2021,0.045439085,neutral,4,1,9,neutral,14,0.004356114
GOOGL,1/22/2021,-0.014919865,neutral,6,7,12,neutral,25,0.004463494
AMZN,1/22/2021,0.047222222,neutral,2,0,4,neutral,6,-0.004463313
NVDA,1/22/2021,0.061447811,bullish,2,0,4,neutral,6,-0.011177225
META,1/22/2021,0.067498364,bullish,8,1,14,neutral,23,0.0059737
TSLA,1/22/2021,0.011168831,neutral,2,2,7,neutral,11,0.001952643
BTC,1/22/2021,0.008964646,neutral,4,2,18,neutral,24,0.07072224
AAPL,1/25/2021,0.098701299,bullish,6,0,8,neutral,14,0.027684112
MSFT,1/25/2021,0.012532468,neutral,1,1,8,neutral,10,0.015844224
GOOGL,1/25/2021,-0.009175084,neutral,2,4,12,neutral,18,0.000908783
AMZN,1/25/2021,0.003982684,neutral,3,1,3,bullish,7,0.000537635
NVDA,1/25/2021,-0.013243547,neutral,1,2,3,neutral,6,-0.004320886
META,1/25/2021,0.057388167,bullish,6,1,14,neutral,21,0.012786772
TSLA,1/25/2021,0.070283447,bullish,5,2,7,neutral,14,0.040347806
BTC,1/25/2021,0.014670868,neutral,6,4,7,neutral,17,0.002385108
AAPL,1/26/2021,0.076467803,bullish,5,0,11,neutral,16,0.001678995
MSFT,1/26/2021,0.037835498,neutral,4,0,11,neutral,15,0.012198759
GOOGL,1/26/2021,0.008658009,neutral,3,3,17,neutral,23,0.007216534
AMZN,1/26/2021,-0.069292929,bearish,2,1,3,neutral,6,0.009754137
NVDA,1/26/2021,0.02021164,neutral,1,2,2,bearish,5,-0.015966763
META,1/26/2021,0.088424619,bullish,9,2,12,neutral,23,0.014531747
TSLA,1/26/2021,0.06962406,bullish,6,1,12,neutral,19,0.002599919
BTC,1/26/2021,0.054878788,bullish,10,5,10,bullish,25,0.006286058
AAPL,1/27/2021,0.089569816,bullish,6,0,11,neutral,17,-0.007683302
MSFT,1/27/2021,-0.01490861,neutral,4,5,12,neutral,21,0.00245344
GOOGL,1/27/2021,0.024003219,neutral,5,6,15,neutral,26,-0.046652171
