stock,date,average_sentiment_score,dominant_sentiment_average,bullish_articles,bearish_articles,neutral_articles,dominant_sentiment_majority,num_articles_fetched
AAPL,1/1/2021,0.152380952,bullish,3,0,4,neutral,7
MSFT,1/1/2021,0.094358974,bullish,5,2,6,neutral,13
GOOGL,1/1/2021,0.039777778,neutral,2,1,12,neutral,15
AMZN,1/1/2021,0.193333333,bullish,2,0,2,bullish,4
NVDA,1/1/2021,0.271333333,bullish,4,0,1,bullish,5
META,1/1/2021,0.021574675,neutral,3,3,10,neutral,16
TSLA,1/1/2021,0.081481481,bullish,3,1,5,neutral,9
BTC,1/1/2021,0.051467405,bullish,7,3,7,bullish,17
AAPL,1/4/2021,0.063636364,bullish,2,0,9,neutral,11
MSFT,1/4/2021,0.037088745,neutral,6,2,6,bullish,14
GOOGL,1/4/2021,0.051657197,bullish,5,2,9,neutral,16
AMZN,1/4/2021,0.041481481,neutral,3,2,4,neutral,9
NVDA,1/4/2021,0.123333333,bullish,3,1,1,bullish,5
META,1/4/2021,0.044786464,neutral,5,2,8,neutral,15
TSLA,1/4/2021,0.023253367,neutral,5,2,5,bullish,12
BTC,1/4/2021,0.034791524,neutral,4,2,13,neutral,19
AAPL,1/5/2021,0.015512266,neutral,4,3,14,neutral,21
MSFT,1/5/2021,0.03771279,neutral,7,2,8,neutral,17
GOOGL,1/5/2021,0.057768158,bullish,7,0,14,neutral,21
AMZN,1/5/2021,0.024794095,neutral,4,4,5,neutral,13
NVDA,1/5/2021,0.070833333,bullish,2,1,1,bullish,4
META,1/5/2021,0.014094618,neutral,7,4,11,neutral,22
TSLA,1/5/2021,0.004930888,neutral,5,3,11,neutral,19
BTC,1/5/2021,0.030278243,neutral,7,5,19,neutral,31
AAPL,1/6/2021,0.02592249,neutral,5,4,12,neutral,21
MSFT,1/6/2021,0.019869652,neutral,3,0,14,neutral,17
GOOGL,1/6/2021,0.065277778,bullish,6,0,14,neutral,20
AMZN,1/6/2021,0.056685032,bullish,4,3,4,bullish,11
NVDA,1/6/2021,0,neutral,0,0,0,neutral,0
META,1/6/2021,0.004144708,neutral,6,4,13,neutral,23
TSLA,1/6/2021,-0.003693756,neutral,5,4,13,neutral,22
BTC,1/6/2021,0.044023254,neutral,11,3,15,neutral,29
AAPL,1/7/2021,0.070982143,bullish,7,3,6,bullish,16
MSFT,1/7/2021,0.007575758,neutral,1,0,11,neutral,12
GOOGL,1/7/2021,0.057958153,bullish,7,1,10,neutral,18
AMZN,1/7/2021,-0.003516114,neutral,2,1,6,neutral,9
NVDA,1/7/2021,0,neutral,0,0,1,neutral,1
META,1/7/2021,-0.007507707,neutral,3,3,16,neutral,22
TSLA,1/7/2021,-0.01020202,neutral,4,4,12,neutral,20
BTC,1/7/2021,0.04909416,neutral,11,1,17,neutral,29
AAPL,1/8/2021,0.053661616,bullish,8,3,7,bullish,18
MSFT,1/8/2021,0.026446281,neutral,3,2,6,neutral,11
GOOGL,1/8/2021,0.033680556,neutral,4,1,11,neutral,16
AMZN,1/8/2021,0.018928571,neutral,3,1,8,neutral,12
NVDA,1/8/2021,0.133333333,bullish,1,0,2,neutral,3
META,1/8/2021,0.02099361,neutral,3,1,17,neutral,21
TSLA,1/8/2021,0.049033816,neutral,9,3,11,neutral,23
BTC,1/8/2021,0.067962963,bullish,10,2,15,neutral,27
AAPL,1/11/2021,0.039772727,neutral,2,0,2,bullish,4
MSFT,1/11/2021,0.040435606,neutral,2,0,9,neutral,11
GOOGL,1/11/2021,-0.016437908,neutral,3,3,11,neutral,17
AMZN,1/11/2021,0.071998557,bullish,3,0,5,neutral,8
NVDA,1/11/2021,0.04,neutral,0,0,1,neutral,1
META,1/11/2021,0.02325528,neutral,4,2,16,neutral,22
TSLA,1/11/2021,0.065981977,bullish,5,0,9,neutral,14
BTC,1/11/2021,0.010577922,neutral,7,5,18,neutral,30
AAPL,1/12/2021,0.031666667,neutral,4,0,6,neutral,10
MSFT,1/12/2021,0.034657964,neutral,2,0,10,neutral,12
GOOGL,1/12/2021,0.041580087,neutral,7,2,12,neutral,21
AMZN,1/12/2021,0.096159812,bullish,4,0,4,bullish,8
NVDA,1/12/2021,0.134075448,bullish,4,0,3,bullish,7
META,1/12/2021,0.012193362,neutral,4,1,16,neutral,21
TSLA,1/12/2021,0.025652443,neutral,5,1,9,neutral,15
BTC,1/12/2021,0.035420819,neutral,10,6,27,neutral,43
AAPL,1/13/2021,0.065675991,bullish,5,1,7,neutral,13
MSFT,1/13/2021,0.044525947,neutral,2,1,6,neutral,9
GOOGL,1/13/2021,0.058160487,bullish,8,1,14,neutral,23
AMZN,1/13/2021,0.064182643,bullish,3,0,4,neutral,7
NVDA,1/13/2021,0.080640693,bullish,5,1,4,bullish,10
META,1/13/2021,0.019515265,neutral,4,2,13,neutral,19
TSLA,1/13/2021,0.057575758,bullish,5,1,6,neutral,12
BTC,1/13/2021,0.03150706,neutral,9,8,25,neutral,42
AAPL,1/14/2021,0.091934046,bullish,8,1,8,bullish,17
MSFT,1/14/2021,0.00473064,neutral,2,2,6,neutral,10
GOOGL,1/14/2021,0.045006061,neutral,6,1,18,neutral,25
AMZN,1/14/2021,0.020707071,neutral,1,0,5,neutral,6
